No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
225,83830,479,78,594,479,
226,84328,379,122,587,379,
227,84727,160,126,588,160,
228,85006,140,45,498,140,
229,85186,658,74,610,658,
230,85963,299,123,665,299,
231,86302,159,103,754,159,
232,86482,578,154,725,578,
233,87100,140,350,587,140,
234,87299,678,365,574,678,
235,88057,638,371,629,638,
236,88794,239,338,645,239,
237,89054,399,383,701,399,
238,89472,518,406,485,518,
239,90210,279,466,496,279,
240,90549,219,412,518,219,
241,90788,139,457,601,139,
242,91167,518,376,617,518,
243,91705,120,365,622,120,
244,91945,120,385,475,120,
245,92104,439,388,481,439,
246,92862,180,266,902,180,
247,93061,359,301,875,359,
248,94197,140,881,635,140,
249,94397,239,796,496,239,
250,94656,179,792,496,179,
251,94855,179,919,462,179,
252,95115,319,884,623,319,
253,95593,100,301,213,100,
254,95773,100,112,226,100,
255,95892,299,73,205,299,
256,96211,279,255,214,279,
257,96510,279,68,223,279,
258,96809,419,90,226,419,
259,97268,120,126,551,120,
260,97487,179,60,498,179,
261,97686,339,387,544,339,
262,98105,120,425,493,120,
263,98285,678,102,219,678,
264,98982,279,285,205,279,
265,99281,100,79,214,100,
266,99541,140,1018,531,140,
267,99740,279,1101,497,279,
268,100039,219,1097,497,219,
269,100358,100,1109,461,100,
270,100518,140,1116,799,140,
271,100936,140,909,570,140,
272,101235,120,799,512,120,
273,101395,120,769,492,120,
274,101534,179,262,526,179,
275,101853,997,40,481,997,
276,102890,638,49,537,638,
277,103548,1256,22,500,1256,
278,104824,598,96,602,598,
279,105442,758,87,597,758,
280,106220,618,34,617,618,
281,107037,718,50,657,718,
282,107775,319,95,701,319,
283,108114,379,128,705,379,
284,108513,478,80,595,478,
285,109011,139,124,590,139,
286,109171,618,166,585,618,
287,109809,1116,111,693,1116,
288,110945,259,203,695,259,
289,111244,199,130,562,199,
290,111464,438,109,573,438,
291,112041,299,106,576,299,
292,112360,558,157,606,558,
293,112939,479,142,647,479,
294,113597,199,204,687,199,
295,113836,239,172,693,239,
296,114095,100,161,699,100,
297,114235,140,132,695,140,
298,114414,120,160,609,120,
299,114733,180,383,600,180,
300,115052,319,122,610,319,
301,115391,239,172,607,239,
302,115670,359,100,609,359,
303,116049,179,73,601,179,
304,116248,100,75,604,100,
305,116368,379,103,587,379,
306,116767,399,88,604,399,
307,117185,140,166,615,140,
308,117345,638,194,633,638,
309,118142,279,150,651,279,
310,118541,479,95,621,479,
311,119040,319,68,575,319,
312,119378,140,119,535,140,
313,119538,279,72,615,279,
314,119837,379,105,616,379,
315,120236,219,171,616,219,
316,120475,139,168,621,139,
317,120635,598,142,643,598,
